Sensor,humidity sensor,2kHz(pF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz,20kHz,200kHz,1M,water content,,humidity sensor,2kHz,20kHz,200kHz,1M,water content,,humidity sensor,2kHz,20kHz,200kHz,1M,water content,,humidity sensor,2kHz,20kHz,200kHz,1M,water content,,humidity sensor,2kHz,20kHz,200kHz,1M,water content,,humidity sensor,2kHz,20kHz,200kHz,1M,water content,,dry soil volume
thin type 1,0,18.26,17.6,17.11,16.66,0,,204,49.31 n,2.24 n,152.88 p,56.10 p,100mL,,207,59,2.43,166.62,68.8,120mL,,,9.85n,467.63p,47.50p,26.34p,20ml,,,25.94n,1.16n,98.94p,42.56p,40mL,,170,31.19n,1.65n,111.99p,44.51p,60mL,,170,28.2583n,1.4163n,122.354p,49.3724p,80mL,,250mL
thin type 2,0,17.62,17.17,16.71,16.28,0,,,46.59 n,2.46 n,166.08 p,59.37,100mL,,,46.50n,1.9n,148.7p,64.5p,120mL,,,4.43n,214.15p,32.24p,21.87p,20ml,,,21.72 n,1.06n,90 p,39.69 p,40mL,,,25.15n,1.261n,111.44p,45.97p,60mL,,,24.95n,1.20n,98.11p,41.97p,80mL,,250mL
thin type 3,0,19.43,18.1,17.4,16.9,0,,,48.32,2.53,166.12,58.2,100mL,,,57.45n,2.37n,166.07p,67.84p,120mL,,,120.03p,25.633p,18.44p,17.13p,20ml,,,27.47n,1.22n,109.51p,46.59p,40mL,,,18.12n,901.327p,82.415p,36.34p,60mL,,,24.92n,1.11p,9787p,41.55p,80mL,,250mL
thin type 4,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
thin type 5,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
thin type 6,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
mid type 1,0,26.11,24.77,24.08,23.5,0,,,47.54,2.4,165.03p,63.01p,100mL,,,48.55,2.02,141.47,64.58,120mL,,,8.551n,407.97p,48.68p,31.71p,20ml,,,29.11n,1.40n,113.549p,51.37p,40mL,,,27.81n,1.23n,120.78p,55.03p,60mL,,,27.78n,1.29n,114.851p,53.86p,80mL,,250mL
mid type 2,0,27.5,25.5,24.7,24.2,0,,,45.8,2.23,148,58.65,100mL,,,66.13n,2.54n,175.81p,75.57p,120mL,,,1.60n,110.83p,33.56p,27.97p,20ml,,,18.20 n,892.32p,94.91p,49.06p,40mL,,,19..062n,1.054p,105.76p,49.65p,60mL,,,28.78n,1.31n,118.97p,54.85p,80mL,,250mL
mid type 3,0,31.6,28.25,26.71,25.3,0,,,45.07,2.37,190.277,75.49,100mL,,,61.51n,2.72n,199.98p,84.73p,120mL,,,4.38n,245.62p,37.73p,27.63p,20ml,,,25.33n,1.03 n,98.99p,50.33p,40mL,,,23.4949n,1.23n,103.30p,48.41p,60mL,,,36.49n,1.78n,151.39p,67.57p,80mL,,250mL
mid type 4,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
mid type 5,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
mid type 6,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
broad type 1,0,35.25,33.67,32.88,32.17,0,,,31.11,1.66,181.22,81.27,100mL,,,31.2n,1.3n,150p,78p,120mL,,,7.19n,391..28p,57.95p,39.24p,20ml,,,8.57n,430.39p,70.18p,45.48p,40mL,,,16.03n,892.21p,117.42p,61.02p,60mL,,,20.57n,1.10n,131.40p,67.50p,80mL,,250mL
broad type 2,0,35.93,33.84,32.93,32.2,0,,,42.28,1.98,163.97,72.56,100mL,,,59.04n,2.44n,194.08p,91.64p,120mL,,,5.93n,304.18p,51.61p,38.51p,20ml,,,15.23n,706.50p,84.13p,48.75p,40mL,,,30.69n,1.53n,144.90p,66.37p,60mL,,,28.63n,1.30n,131.68p,65.62p,80mL,,250mL
broad type 3,0,36.89,34.68,33.59,32.75,0,,,42.23,2.09,.192.68,82.29,100mL,,,42.11n,1.85n,173.67p,85.84p,120mL,,,7.3n,342.85p,55.6954p,39.95p,20ml,,,19.6169n,942.96p,100.49p,54.95 p,40mL,,,23.74n,1.30n,138.432p,64.99p,60mL,,,21.96n,1.16n,126.86p,63.45p,80mL,,250mL
broad type 4,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
broad type 5,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
broad type 6,0,,,,,0,,,,,,,100mL,,,,,,,120mL,,,,,,,20ml,,,,,,,40mL,,,,,,,60mL,,,,,,,80mL,,250mL
