Sensor,humidity sensor,2kHz(pF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),20kHz(nF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz,20kHz,200kHz,1M,water content,,humidity sensor,2kHz(nF),20kHz(nF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),20kHz(nF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),20kHz(nF),200kHz(pF),1M(pF),water content,,dry soil volume
a1,0,18.26,17.6,17.11,16.66,0,,,9.85n,467.63p,47.50p,26.34p,20ml,,,25.94n,1.16n,98.94p,42.56p,40mL,,170,31.19n,1.65n,111.99p,44.51p,60mL,,170,28.2583n,1.4163n,122.354p,49.3724p,80mL,,204,49.31 n,2.24 n,152.88 p,56.10 p,100mL,,207,59,2.43,166.62,68.8,120mL,,250mL
a2,0,17.62,17.17,16.71,16.28,0,,,4.43n,214.15p,32.24p,21.87p,20ml,,,21.72 n,1.06n,90 p,39.69 p,40mL,,,25.15n,1.261n,111.44p,45.97p,60mL,,,24.95n,1.20n,98.11p,41.97p,80mL,,,46.59 n,2.46 n,166.08 p,59.37,100mL,,,46.5,1.9,148.7p,64.5p,120mL,,250mL
a3,0,19.43,18.1,17.4,16.9,0,,,0.12n,25.633p,18.44p,17.13p,20ml,,,27.47n,1.22n,109.51p,46.59p,40mL,,,18.12n,901.327p,82.415p,36.34p,60mL,,,24.92n,1.11n,9787p,41.55p,80mL,,,48.32,2.53,166.12,58.2,100mL,,,57.45,2.37,166.07p,67.84p,120mL,,250mL
a4,0,18.9,20.2,19.4,18.3,0,,,8.5n,418.7p,50.2p,34.9p,20ml,,,26.5n,1.2n,110.8p,48.3p,40mL,,,23.3n,1.1n,125.6p,52.0p,60mL,,,22.0n,1.0n,118.2p,51.2p,80mL,,,47.5,2.3,165.3,60.8,100mL,,,50.6,2,159.8,68.5,120mL,,250mL
a5,0,19.7,21.5,20.3,19,0,,,10.1n,431.8p,52.7p,37.8p,20ml,,,23.7n,1.4n,110.8p,49.3p,40mL,,,23.0n,1.2n,126.5p,53.2p,60mL,,,20.9n,1.0n,120.9p,52.3p,80mL,,,47.3,2.7,173.2,63.8,100mL,,,52.4,2.1,162.7,70.8,120mL,,250mL
a6,0,19.8,19.8,20.4,22.4,0,,,11.2n,451.7p,53.5p,38.4p,20ml,,,25.9n,1.6n,113.2p,52.0p,40mL,,,20.6n,1.1n,129.8p,55.1p,60mL,,,19.8n,1.2n,122.3p,54.2p,80mL,,,49.1,2.8,178.6,67.4,100mL,,,53.6,2.3,167.9,73.5,120mL,,250mL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,0,26.11,24.77,24.08,23.5,0,,,8.551n,407.97p,48.68p,31.71p,20ml,,,29.11n,1.40n,113.549p,51.37p,40mL,,,27.81n,1.23n,120.78p,55.03p,60mL,,,27.78n,1.29n,114.851p,53.86p,80mL,,,47.54,2.4,165.03p,63.01p,100mL,,,48.55,2.02,141.47,64.58,120mL,,250mL
b2,0,27.5,25.5,24.7,24.2,0,,,1.60n,110.83p,33.56p,27.97p,20ml,,,18.20 n,.892n,94.91p,49.06p,40mL,,,19..062n,1.054n,105.76p,49.65p,60mL,,,28.78n,1.31n,118.97p,54.85p,80mL,,,45.8,2.23,148,58.65,100mL,,,66.13,2.54,175.81p,75.57p,120mL,,250mL
b3,0,31.6,28.25,26.71,25.3,0,,,4.38n,245.62p,37.73p,27.63p,20ml,,,25.33n,1.03 n,98.99p,50.33p,40mL,,,23.4949n,1.23n,103.30p,48.41p,60mL,,,36.49n,1.78n,151.39p,67.57p,80mL,,,45.07,2.37,190.277,75.49,100mL,,,61.51,2.72,199.98p,84.73p,120mL,,250mL
b4,0,23.9,24.6,25.8,25.8,0,,,8.2n,425.7p,50.4p,35.3p,20ml,,,28.5n,1.4n,110.3p,48.7p,40mL,,,25.6n,1.2n,127.9p,54.0p,60mL,,,23.2n,1.3n,119.3p,52.2p,80mL,,,46.2,2.5,164.2,60.1,100mL,,,49.7,2,155.6,66.9,120mL,,250mL
b5,0,24.8,24,25.5,27.2,0,,,9.8n,435.2p,51.8p,36.9p,20ml,,,27.5n,1.3n,113.5p,49.8p,40mL,,,24.7n,1.1n,128.5p,54.8p,60mL,,,22.0n,1.2n,121.8p,52.8p,80mL,,,44.9,2.3,153.8,63.2,100mL,,,50.8,2.2,146.9,70.1,120mL,,250mL
b6,0,25.7,26.8,28,29.6,0,,,11.2n,451.7p,53.5p,38.4p,20ml,,,25.9n,1.6n,113.2p,52.0p,40mL,,,20.6n,1.1n,129.8p,55.1p,60mL,,,19.8n,1.2n,122.3p,54.2p,80mL,,,47.9,2.6,172.4,68.3,100mL,,,53.6,2.3,167.9,73.5,120mL,,250mL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,0,35.25,33.67,32.88,32.17,0,,,7.19n,391..28p,57.95p,39.24p,20ml,,,8.57n,.430n,70.18p,45.48p,40mL,,,16.03n,.892n,117.42p,61.02p,60mL,,,20.57n,1.10n,131.40p,67.50p,80mL,,,31.11,1.66,181.22,81.27,100mL,,,31.2,1.3,150p,78p,120mL,,250mL
c2,0,35.93,33.84,32.93,32.2,0,,,5.93n,304.18p,51.61p,38.51p,20ml,,,15.23n,.706n,84.13p,48.75p,40mL,,,30.69n,1.53n,144.90p,66.37p,60mL,,,28.63n,1.30n,131.68p,65.62p,80mL,,,42.28,1.98,163.97,72.56,100mL,,,59.04,2.44,194.08p,91.64p,120mL,,250mL
c3,0,36.89,34.68,33.59,32.75,0,,,7.3n,342.85p,55.6954p,39.95p,20ml,,,19.6169n,.942n,100.49p,54.95 p,40mL,,,23.74n,1.30n,138.432p,64.99p,60mL,,,21.96n,1.16n,126.86p,63.45p,80mL,,,42.23,2.09,.192.68,82.29,100mL,,,42.11,1.85,173.67p,85.84p,120mL,,250mL
c4,0,31.9,31.2,32.6,34.2,0,,,7.2n,375.5p,52.3p,37.8p,20ml,,,22.9n,1.0n,111.7p,50.5p,40mL,,,21.1n,0.9n,127.5p,55.2p,60mL,,,18.9n,0.8n,120.3p,51.8p,80mL,,,41.9,2,183.5,78.5,100mL,,,44.1,1.9,174.6,82.4,120mL,,250mL
c5,0,32.3,32.5,33.1,34,0,,,8.1n,395.4p,54.1p,38.5p,20ml,,,21.7n,0.9n,110.5p,49.3p,40mL,,,20.1n,0.8n,126.1p,54.3p,60mL,,,17.8n,0.7n,118.8p,51.6p,80mL,,,40.4,1.8,169.4,74.6,100mL,,,42.9,1.7,164.8,79.3,120mL,,250mL
c6,0,34.2,33.4,34.2,35.3,0,,,7.7n,375.2p,53.8p,38.2p,20ml,,,21.0n,0.9n,109.3p,48.8p,40mL,,,19.3n,0.8n,125.9p,54.5p,60mL,,,16.6n,0.7n,118.7p,51.4p,80mL,,,39.9,1.7,164.1,70.6,100mL,,,41.4,1.6,159.8,75.8,120mL,,250mL
