Sensor,humidity sensor,2kHz(pF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),2kHz(pF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),2kHz(pF),20kHz(nF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),2kHz(pF),20kHz(nF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),2kHz(pF),20kHz(nF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),2kHz(pF),20kHz(nF),20kHz(pF),200kHz(pF),1M(pF),water content,,humidity sensor,2kHz(nF),2kHz(pF),20kHz(nF),20kHz(pF),200kHz(pF),1M(pF),water content,,dry soil volume
a1,0,18.26,17.6,17.11,16.66,0,,,9.85,9850,467.63,47.5,26.34,20ml,,,25.94,25940,1.16,1160,98.94,42.56,40mL,,170,31.19,31190,1.65,1650,111.99,44.51,60mL,,170,28.2583,28258.3,1.4163,1416.3,122.354,49.3724,80mL,,204,49.31,49310,2.24,2240,152.88,56.1,100mL,,207,59,59000,2.43,2430,166.62,68.8,120mL,,250mL
a2,0,17.62,17.17,16.71,16.28,0,,,4.43,4430,214.15,32.24,21.87,20ml,,,21.72,21720,1.06,1060,90,39.69,40mL,,,25.15,25150,1.261,1261,111.44,45.97,60mL,,,24.95,24950,1.2,1200,98.11,41.97,80mL,,,46.59,46590,2.46,,166.08,59.37,100mL,,,46.5,46500,1.9,1900,148.7,64.5,120mL,,250mL
a3,0,19.43,18.1,17.4,16.9,0,,,0.12,120,25.633,18.44,17.13,20ml,,,27.47,27470,1.22,1220,109.51,46.59,40mL,,,18.12,18120,0.901,901,82.415,36.34,60mL,,,24.92,24920,1.11,1110,9787,41.55,80mL,,,48.32,48320,2.53,,166.12,58.2,100mL,,,57.45,57450,2.37,2370,166.07,67.84,120mL,,250mL
a4,0,18.9,20.2,19.4,18.3,0,,,8.5,8500,418.7,50.2,34.9,20ml,,,26.5,26500,1.2,1200,110.8,48.3,40mL,,,23.3,23300,1.1,1100,125.6,52,60mL,,,22,22000,1,1000,118.2,51.2,80mL,,,47.5,47500,2.3,,165.3,60.8,100mL,,,50.6,50600,2,2000,159.8,68.5,120mL,,250mL
a5,0,19.7,21.5,20.3,19,0,,,10.1,10100,431.8,52.7,37.8,20ml,,,23.7,23700,1.4,1400,110.8,49.3,40mL,,,23,23000,1.2,1200,126.5,53.2,60mL,,,20.9,20900,1,1000,120.9,52.3,80mL,,,47.3,47300,2.7,,173.2,63.8,100mL,,,52.4,52400,2.1,2100,162.7,70.8,120mL,,250mL
a6,0,19.8,19.8,20.4,22.4,0,,,11.2,11200,451.7,53.5,38.4,20ml,,,25.9,25900,1.6,1600,113.2,52,40mL,,,20.6,20600,1.1,1100,129.8,55.1,60mL,,,19.8,19800,1.2,1200,122.3,54.2,80mL,,,49.1,49100,2.8,,178.6,67.4,100mL,,,53.6,53600,2.3,2300,167.9,73.5,120mL,,250mL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,0,26.11,24.77,24.08,23.5,0,,,8.551,8551,407.97,48.68,31.71,20ml,,,29.11,29110,1.4,1400,113.549,51.37,40mL,,,27.81,27810,1.23,1230,120.78,55.03,60mL,,,27.78,27780,1.29,1290,114.851,53.86,80mL,,,47.54,47540,2.4,,165.03,63.01,100mL,,,48.55,48550,2.02,2020,141.47,64.58,120mL,,250mL
b2,0,27.5,25.5,24.7,24.2,0,,,1.6,1600,110.83,33.56,27.97,20ml,,,18.2,18200,0.892,892,94.91,49.06,40mL,,,19.062,19062,1.054,1054,105.76,49.65,60mL,,,28.78,28780,1.31,1310,118.97,54.85,80mL,,,45.8,45800,2.23,,148,58.65,100mL,,,66.13,66130,2.54,2540,175.81,75.57,120mL,,250mL
b3,0,31.6,28.25,26.71,25.3,0,,,4.38,4380,245.62,37.73,27.63,20ml,,,25.33,25330,1.03,1030,98.99,50.33,40mL,,,23.4949,23494.9,1.23,1230,103.3,48.41,60mL,,,36.49,36490,1.78,1780,151.39,67.57,80mL,,,45.07,45070,2.37,,190.277,75.49,100mL,,,61.51,61510,2.72,2720,199.98,84.73,120mL,,250mL
b4,0,23.9,24.6,25.8,25.8,0,,,8.2,8200,425.7,50.4,35.3,20ml,,,28.5,28500,1.4,1400,110.3,48.7,40mL,,,25.6,25600,1.2,1200,127.9,54,60mL,,,23.2,23200,1.3,1300,119.3,52.2,80mL,,,46.2,46200,2.5,,164.2,60.1,100mL,,,49.7,49700,2,2000,155.6,66.9,120mL,,250mL
